# seconds, nanoseconds, trueX, trueY, trueZ, trueYaw, odomX, odomY, odomZ, odomYaw
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731226752000000000e+09,9.726859520000000000e+08,-1.202411483973264694e-02,2.317024154763203114e-05,5.000031739473342896e-02,4.373465781100094318e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731226752000000000e+09,7.209232000000000000e+07,-1.205696817487478256e-02,2.316699828952550888e-05,5.000026151537895203e-02,4.368291702121496201e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731226752000000000e+09,1.725162400000000000e+08,-1.209121383726596832e-02,2.316235440957825631e-05,5.000020936131477356e-02,4.362901381682604551e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731226752000000000e+09,2.727443520000000000e+08,-1.212646346539258957e-02,2.317504367965739220e-05,5.000016465783119202e-02,4.356066929176449776e-04,-1.204296294599771500e-02,1.662749923525552731e-06,0.000000000000000000e+00,2.782557276077568531e-04
1.731226752000000000e+09,3.728728320000000000e+08,-1.215930562466382980e-02,2.316949576197657734e-05,5.000014975666999817e-02,4.351423995103687048e-04,-1.204296294599771500e-02,1.662749923525552731e-06,0.000000000000000000e+00,2.782557276077568531e-04
1.731226752000000000e+09,4.726287040000000000e+08,-1.219354197382926941e-02,2.316323298146016896e-05,5.000012367963790894e-02,4.346436180640012026e-04,-1.204296294599771500e-02,1.662749923525552731e-06,0.000000000000000000e+00,2.782557276077568531e-04
1.731226752000000000e+09,5.726733440000000000e+08,-1.222878508269786835e-02,2.317460894118994474e-05,5.000009760260581970e-02,4.339909064583480358e-04,-1.215589512139558792e-02,1.631436134630348533e-06,0.000000000000000000e+00,2.762689255177974701e-04
1.731226752000000000e+09,6.727865600000000000e+08,-1.226162165403366089e-02,2.316810969205107540e-05,5.000009760260581970e-02,4.335497505962848663e-04,-1.215589512139558792e-02,1.631436134630348533e-06,0.000000000000000000e+00,2.762689255177974701e-04
1.731226752000000000e+09,7.732286720000000000e+08,-1.229585520923137665e-02,2.316118843737058342e-05,5.000008642673492432e-02,4.330686351750046015e-04,-1.215589512139558792e-02,1.631436134630348533e-06,0.000000000000000000e+00,2.762689255177974701e-04
1.731226752000000000e+09,8.728538240000000000e+08,-1.233577728271484375e-02,2.444920937705319375e-05,5.000079050660133362e-02,4.737667040899395943e-04,-1.215589512139558792e-02,1.631436134630348533e-06,0.000000000000000000e+00,2.762689255177974701e-04
1.731226752000000000e+09,9.729214080000000000e+08,-1.237005833536386490e-02,2.443076846248004586e-05,5.000060796737670898e-02,4.731749650090932846e-04,-1.227952539920806885e-02,1.597057121216494124e-06,0.000000000000000000e+00,3.097912704106420279e-04
1.731226752000000000e+09,7.304180000000000000e+07,-1.240533962845802307e-02,2.444854726491030306e-05,5.000046268105506897e-02,4.723317397292703390e-04,-1.227952539920806885e-02,1.597057121216494124e-06,0.000000000000000000e+00,3.097912704106420279e-04
1.731226752000000000e+09,1.730172320000000000e+08,-1.243820413947105408e-02,2.444644451315980405e-05,5.000037327408790588e-02,4.717422998510301113e-04,-1.227952539920806885e-02,1.597057121216494124e-06,0.000000000000000000e+00,3.097912704106420279e-04
1.731226752000000000e+09,2.729606080000000000e+08,-1.247245818376541138e-02,2.444219535391312093e-05,5.000029131770133972e-02,4.711438959930092096e-04,-1.239244919270277023e-02,1.562220290907134768e-06,0.000000000000000000e+00,3.072473627980798483e-04
1.731226752000000000e+09,3.732057920000000000e+08,-1.250771433115005493e-02,2.445503196213394403e-05,5.000022798776626587e-02,4.704110324382781982e-04,-1.239244919270277023e-02,1.562220290907134768e-06,0.000000000000000000e+00,3.072473627980798483e-04
