# seconds, nanoseconds, trueX, trueY, trueZ, trueYaw, odomX, odomY, odomZ, odomYaw
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.740410752000000000e+09,7.017971840000000000e+08,-7.635994553565979004e-01,2.509078979492187500e+00,4.999123513698577881e-02,1.653541803359985352e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.740410752000000000e+09,8.013222400000000000e+08,-7.635889053344726562e-01,2.508935689926147461e+00,4.999543353915214539e-02,1.653591752052307129e+00,-4.456013994058594108e-05,3.202634252374991775e-05,0.000000000000000000e+00,1.412923779753327835e-06
1.740410752000000000e+09,9.007059200000000000e+08,-7.635761499404907227e-01,2.508760929107666016e+00,4.999123513698577881e-02,1.653653383255004883e+00,-1.864798396127298474e-04,-1.247604232048615813e-04,0.000000000000000000e+00,-4.182300926913740113e-06
1.740410752000000000e+09,9.055520000000000000e+05,-7.635655999183654785e-01,2.508617639541625977e+00,4.999543353915214539e-02,1.653703331947326660e+00,-2.311723219463601708e-04,-9.245378168998286128e-05,0.000000000000000000e+00,-2.758479467956931330e-06
1.740410752000000000e+09,1.007447280000000000e+08,-7.635528445243835449e-01,2.508442878723144531e+00,4.999123513698577881e-02,1.653765082359313965e+00,-3.724262642208486795e-04,-2.496105735190212727e-04,0.000000000000000000e+00,-8.370092473342083395e-06
1.740410752000000000e+09,2.010884320000000000e+08,-7.635422348976135254e-01,2.508299589157104492e+00,4.999543353915214539e-02,1.653815031051635742e+00,-4.169656895101070404e-04,-2.174948749598115683e-04,0.000000000000000000e+00,-6.954800937819527462e-06
1.740410752000000000e+09,3.012447360000000000e+08,-7.635294198989868164e-01,2.508124828338623047e+00,4.999123513698577881e-02,1.653876662254333496e+00,-5.583419115282595158e-04,-3.745030553545802832e-04,0.000000000000000000e+00,-1.255969254998490214e-05
1.740410752000000000e+09,4.007099200000000000e+08,-7.635188102722167969e-01,2.507981538772583008e+00,4.999543353915214539e-02,1.653926610946655273e+00,-6.031104712747037411e-04,-3.413806552998721600e-04,0.000000000000000000e+00,-1.110483663069317117e-05
1.740410752000000000e+09,5.008810560000000000e+08,-7.635060548782348633e-01,2.507806777954101562e+00,4.999123513698577881e-02,1.653988242149353027e+00,-7.443439099006354809e-04,-4.992812755517661572e-04,0.000000000000000000e+00,-1.674455234024208039e-05
